cheese,milk,country,family,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
81,4,31,3,38,0,189,7,16,574,294,1,0
85,13,50,3,39,0,259,7,15,489,219,1,0
86,13,50,3,39,0,259,7,15,452,23,1,0
87,6,3,3,47,0,168,9,15,441,135,0,0
88,5,35,3,48,0,138,7,15,592,116,0,0
96,9,35,3,38,0,279,7,15,465,0,0,0
97,4,67,3,20,0,75,7,9,397,228,0,0
100,4,72,3,14,0,279,9,15,502,29,0,0
101,5,35,3,14,0,93,9,15,0,135,0,0
103,4,14,3,21,0,101,3,14,346,132,1,0
107,4,35,3,38,0,279,11,16,598,209,1,0
109,4,35,3,62,0,275,10,11,588,279,0,0
112,4,46,3,38,0,250,7,11,31,181,0,0
114,4,14,3,47,0,93,10,8,17,100,0,0
118,4,30,3,20,0,93,2,11,597,299,1,0
121,4,77,3,21,0,160,7,11,75,33,1,0
130,4,63,3,21,0,93,3,15,423,299,0,0
141,14,44,3,38,0,233,2,15,512,268,0,0
143,4,40,3,21,0,202,7,11,370,33,0,0
145,4,50,3,21,0,65,11,16,386,208,1,0
147,4,35,3,33,0,160,9,11,149,168,0,0
148,4,35,3,47,0,160,10,11,579,46,1,0
150,4,9,3,38,0,127,7,16,441,299,1,0
158,4,4,3,61,0,160,2,16,210,4,0,0
166,4,35,3,38,0,279,10,11,595,0,0,0
168,4,31,3,21,0,105,7,16,266,42,0,0
170,4,35,3,38,0,213,7,3,441,4,0,0
178,4,77,3,21,0,160,7,11,579,289,1,0
181,13,77,3,48,0,160,6,16,570,157,1,0
183,18,77,3,39,0,199,9,16,108,250,1,0
186,4,74,3,20,0,15,7,16,333,285,0,0
187,13,4,3,39,0,250,1,15,441,127,1,0
189,4,78,3,20,0,67,7,4,553,97,1,0
191,9,71,3,21,0,148,7,16,25,49,0,0
199,13,19,3,20,0,94,8,16,287,228,1,0
210,13,77,3,39,0,259,11,15,263,191,0,0
222,4,14,3,20,0,259,9,14,3,207,1,0
223,4,14,3,57,0,259,9,5,459,49,0,0
224,4,14,3,38,0,259,9,11,3,254,0,0
229,9,18,3,21,0,199,7,11,338,117,1,0
232,4,14,3,38,0,250,9,11,310,66,1,0
236,4,74,3,20,0,93,11,11,336,11,0,0
243,4,47,3,38,0,219,6,4,596,304,0,0
244,4,77,3,12,0,225,9,15,209,127,1,0
262,13,74,3,34,0,279,1,10,202,228,1,0
273,5,77,3,39,0,93,6,14,247,234,0,0
288,0,77,3,5,0,166,7,0,572,112,1,0
289,9,70,3,13,0,93,9,15,442,127,0,0
292,4,31,3,39,0,250,10,11,427,0,1,0
293,4,35,3,80,0,279,10,16,66,286,0,0
294,4,7,3,47,0,166,7,11,133,127,0,0
298,4,77,3,39,0,127,7,11,149,101,0,0
302,13,35,3,14,0,279,7,15,355,0,0,0
306,13,35,3,61,0,185,7,4,56,95,0,0
316,7,52,3,48,0,88,7,6,441,138,1,0
317,4,77,3,48,0,160,7,11,556,36,1,0
318,4,76,3,20,0,189,7,15,200,127,0,0
319,4,50,3,39,0,250,10,3,383,285,0,0
321,18,67,3,21,0,211,7,8,74,0,1,0
326,4,35,3,62,0,281,7,11,596,66,0,0
327,4,35,3,74,0,168,6,16,553,17,0,0
333,6,14,3,23,0,210,7,16,366,153,0,0
335,4,12,3,0,0,93,7,16,588,0,1,0
338,4,35,3,39,0,250,7,11,28,47,0,0
340,13,14,3,48,0,60,10,11,20,189,0,0
343,13,14,3,28,0,211,7,11,521,190,1,0
347,13,77,3,22,0,250,10,11,506,261,0,0
353,13,52,3,21,0,67,7,14,565,126,0,0
354,4,77,3,39,0,225,7,16,491,87,1,0
358,4,50,3,39,0,259,11,6,462,105,1,0
360,4,52,3,21,0,87,7,11,524,5,0,0
364,4,67,3,26,0,93,4,4,180,87,1,0
365,4,6,3,39,0,93,7,9,220,18,0,0
371,14,65,3,48,0,3,7,11,585,0,1,0
372,6,70,3,20,0,250,7,16,47,285,0,0
379,4,6,3,21,0,79,7,11,237,27,0,0
384,4,77,3,18,0,23,9,15,262,145,0,0
385,4,74,3,48,0,93,10,16,359,279,1,0
387,13,31,3,14,0,93,7,15,193,205,1,0
388,13,35,3,48,0,93,7,15,551,181,1,0
389,13,35,3,62,0,259,7,15,536,181,0,0
390,4,72,3,20,0,116,10,11,174,263,0,0
399,4,77,3,39,0,180,7,11,569,268,1,0
400,4,30,3,20,0,67,7,11,290,140,0,0
401,4,77,3,39,0,160,7,15,416,87,1,0
402,4,50,3,39,0,279,9,11,357,280,0,0
403,4,50,3,39,0,250,7,11,357,171,1,0
404,4,17,3,8,0,262,7,15,442,127,0,0
407,4,74,3,20,0,189,3,9,309,201,0,0
408,13,77,3,13,0,108,9,15,181,141,1,0
412,13,31,3,14,0,160,7,15,191,121,1,0
414,9,52,3,48,0,160,9,15,588,83,1,0
417,4,77,3,21,0,250,10,11,527,285,1,0
418,4,77,3,39,0,250,7,11,558,49,1,0
423,13,35,3,14,0,67,6,15,598,181,1,0
424,5,14,3,13,0,288,9,15,344,12,1,0
434,4,12,3,38,0,241,7,16,43,127,0,0
435,4,30,3,1,0,239,9,11,308,256,0,0
438,4,77,3,38,0,256,9,16,596,239,0,0
441,4,12,3,39,0,150,7,11,280,223,0,0
445,4,35,3,38,0,11,10,16,472,256,0,0
446,4,35,3,20,0,250,7,16,336,256,0,0
448,4,52,3,20,0,75,7,11,565,0,0,0
450,4,77,3,39,0,127,7,15,341,159,1,0
452,4,50,3,21,0,210,11,11,348,207,0,0
457,4,30,3,48,0,38,5,15,258,62,1,0
458,4,30,3,48,0,48,6,8,210,285,1,0
459,4,30,3,48,0,93,6,8,210,285,1,0
460,4,30,3,34,0,180,5,11,384,178,1,0
463,4,33,3,39,0,210,11,11,15,127,1,0
468,4,77,3,47,0,96,9,15,495,294,0,0
470,4,14,3,21,0,94,7,11,495,304,0,0
471,4,33,3,21,0,129,7,15,130,102,1,0
473,13,77,3,48,0,101,9,15,555,78,1,0
479,4,77,3,18,0,176,9,15,258,150,1,0
482,4,30,3,39,0,266,7,11,210,191,1,0
492,4,57,3,33,0,279,9,11,554,304,0,0
498,4,77,3,56,0,103,3,11,123,15,0,0
500,4,52,3,39,0,11,9,8,557,236,0,0
501,4,30,3,20,0,180,8,11,0,217,0,0
511,4,61,3,20,0,279,11,3,177,63,1,0
519,4,37,3,38,0,219,4,11,175,285,0,0
530,5,77,3,34,0,93,7,8,357,158,1,0
531,13,77,3,48,0,93,10,8,470,175,1,0
537,13,77,3,48,0,93,7,8,470,175,1,0
543,4,35,3,39,0,137,7,14,564,0,0,0
544,13,68,3,21,0,210,7,11,420,181,1,0
545,4,46,3,61,0,147,10,16,510,37,0,0
546,4,74,3,48,0,93,7,11,596,285,1,0
547,4,74,3,62,0,189,7,11,557,127,1,0
551,4,30,3,20,0,35,7,13,39,55,0,0
552,4,77,3,39,0,129,7,14,471,0,0,0
557,4,52,3,31,0,0,7,14,359,0,0,0
560,13,77,3,2,0,190,3,8,178,291,1,0
562,4,50,3,39,0,196,7,16,249,250,1,0
567,4,35,3,62,0,290,11,15,358,285,0,0
571,14,35,3,61,0,290,7,15,317,279,0,0
572,4,72,3,20,0,67,9,15,596,87,0,0
574,13,35,3,62,0,285,7,8,433,228,1,0
575,4,72,3,20,0,259,7,16,97,53,0,0
576,13,14,3,8,0,250,7,15,596,147,0,0
578,4,14,3,61,0,284,10,8,350,127,1,0
588,6,23,3,21,0,147,7,6,213,50,1,0
590,4,55,3,38,0,238,11,16,472,138,0,0
593,4,30,3,20,0,93,9,16,506,87,1,0
596,13,35,3,62,0,279,7,15,596,207,0,0
597,4,77,3,14,0,5,9,2,393,180,1,0
599,4,31,3,48,0,284,10,11,588,279,1,0
601,13,77,3,21,0,250,6,11,50,188,0,0
605,4,78,3,21,0,259,7,15,163,205,0,0
606,4,43,3,21,0,203,7,16,205,225,1,0
609,4,67,3,20,0,250,7,11,488,75,1,0
610,13,30,3,47,0,125,10,9,596,181,0,0
612,4,77,3,38,0,256,9,9,469,250,0,0
616,4,35,3,47,0,243,10,11,503,268,0,0
618,4,18,3,14,0,93,7,15,281,11,1,0
619,4,31,3,48,0,148,10,11,387,34,1,0
621,4,31,3,39,0,279,10,11,573,294,1,0
624,13,77,3,2,0,261,7,2,274,256,1,0
627,4,4,3,21,0,36,3,14,317,191,0,0
628,4,4,3,21,0,180,7,11,438,60,1,0
629,4,4,3,39,0,191,7,6,455,263,0,0
630,4,4,3,21,0,103,11,16,46,285,1,0
631,4,4,3,39,0,127,7,16,297,299,1,0
633,4,4,3,39,0,259,9,11,242,217,1,0
634,4,4,3,21,0,180,7,11,243,127,0,0
637,4,70,3,39,0,189,10,11,155,263,0,0
638,4,30,3,47,0,46,10,12,396,45,1,0
639,4,42,3,39,0,94,7,15,28,127,1,0
642,4,16,3,48,0,61,10,8,121,108,0,0
644,4,4,3,41,0,214,5,11,239,192,1,0
645,4,6,3,39,0,127,7,11,354,128,0,0
646,13,4,3,14,0,160,5,15,236,19,1,0
648,9,69,3,21,0,93,7,4,531,181,0,0
649,4,74,3,27,0,259,9,15,210,285,1,0
651,4,77,3,21,0,94,3,8,210,86,0,0
654,4,27,3,39,0,129,11,11,598,304,0,0
658,4,4,3,21,0,254,7,3,574,295,1,0
660,4,52,3,13,0,30,9,15,102,127,0,0
663,4,33,3,21,0,180,3,11,592,286,0,0
670,13,77,3,15,0,242,7,15,8,127,0,0
672,4,30,3,20,0,277,7,8,587,54,1,0
673,4,57,3,47,0,250,7,11,133,304,0,0
680,4,74,3,38,0,177,10,9,323,0,1,0
681,4,4,3,20,0,110,7,16,124,304,1,0
683,13,77,3,14,0,160,7,15,21,81,1,0
685,4,77,3,38,0,93,10,16,320,285,0,0
686,9,77,3,39,0,180,7,11,92,74,1,0
698,4,35,3,38,0,250,7,9,60,142,0,0
699,4,12,3,48,0,271,9,15,65,0,0,0
705,4,23,3,39,0,212,7,15,403,0,1,0
707,4,27,3,39,0,250,11,11,552,127,0,0
716,4,52,3,33,0,93,7,16,465,31,0,0
721,4,52,3,34,0,147,7,11,144,145,0,0
722,4,74,3,21,0,93,7,16,359,285,0,0
730,4,77,3,21,0,250,7,8,203,191,0,0
731,4,77,3,39,0,94,7,11,160,306,1,0
735,4,50,3,29,0,197,7,3,508,139,1,0
739,13,4,3,21,0,250,7,8,290,307,1,0
740,4,6,3,39,0,160,7,11,271,22,1,0
741,4,6,3,39,0,68,7,16,218,36,1,0
742,4,77,3,48,0,232,10,16,364,72,0,0
744,4,30,3,38,0,93,11,7,384,177,1,0
745,4,30,3,38,0,93,11,6,572,294,1,0
750,13,77,3,13,0,108,9,15,181,141,1,0
751,4,63,3,47,0,284,7,16,158,0,1,0
753,5,77,3,38,0,95,7,11,13,269,1,0
754,9,30,3,21,0,94,7,8,441,304,1,0
758,4,35,3,61,0,279,10,4,556,0,0,0
766,4,14,3,20,0,199,10,9,115,171,1,0
770,0,4,3,19,0,171,9,15,210,249,0,0
773,4,4,3,81,0,250,7,15,281,309,0,0
774,4,4,3,39,0,60,9,11,471,228,1,0
775,4,4,3,13,0,250,9,15,210,156,0,0
784,13,78,3,13,0,93,9,15,428,127,1,0
785,4,6,3,39,0,93,7,11,574,295,1,0
788,4,35,3,39,0,93,7,14,596,127,0,0
791,14,35,3,61,0,285,7,8,56,218,0,0
792,4,35,3,62,0,279,7,15,584,127,0,0
796,4,14,3,20,0,199,10,11,176,304,0,0
834,4,74,3,48,0,189,10,16,593,285,0,0
842,4,6,3,39,0,93,7,16,297,203,0,0
845,4,76,3,47,0,161,2,15,180,262,1,0
848,13,35,3,61,0,285,7,6,210,6,1,0
849,4,35,3,38,0,93,7,14,147,0,0,0
851,4,77,3,38,0,67,7,11,455,128,1,0
860,13,35,3,62,0,259,7,15,586,188,1,0
867,4,77,3,38,0,147,7,16,463,0,0,0
868,4,72,3,20,0,171,9,15,247,33,0,0
870,4,77,3,39,0,94,7,11,574,87,1,0
871,4,30,3,20,0,71,3,11,24,58,0,0
877,4,77,3,21,0,251,11,16,117,288,0,0
882,5,35,3,62,0,279,7,15,404,207,1,0
883,4,4,3,58,0,248,10,11,565,11,0,0
885,4,74,3,28,0,94,7,16,359,288,0,0
888,4,35,3,47,0,160,10,11,30,228,0,0
889,4,9,3,38,0,153,10,15,554,309,0,0
892,4,77,3,21,0,104,7,16,498,193,1,0
895,4,71,3,47,0,93,9,16,547,33,0,0
899,4,35,3,39,0,280,7,14,506,191,0,0
906,4,9,3,14,0,93,7,15,81,152,0,0
910,4,77,3,21,0,127,7,11,89,171,1,0
914,4,52,3,39,0,250,9,11,598,268,1,0
919,13,77,3,13,0,166,9,15,224,0,1,0
921,13,77,3,13,0,108,9,15,315,0,1,0
922,5,18,3,40,0,94,6,11,381,285,0,0
923,4,4,3,29,0,106,7,11,26,192,0,0
926,4,71,3,47,0,93,9,16,547,33,0,0
929,4,33,3,39,0,250,5,7,405,207,1,0
941,4,35,3,38,0,157,9,13,354,87,0,0
942,4,77,3,21,0,89,7,11,233,28,1,0
944,4,27,3,38,0,292,11,16,501,78,0,0
952,4,72,3,20,0,233,7,7,537,207,1,0
961,4,77,3,20,0,93,9,11,119,152,1,0
962,4,77,3,20,0,93,7,15,141,259,1,0
963,13,77,3,34,0,93,8,15,460,235,0,0
965,9,77,3,39,0,93,7,11,506,106,1,0
966,4,77,3,20,0,250,2,15,349,94,1,0
967,4,77,3,21,0,160,7,11,417,215,0,0
968,4,77,3,20,0,93,7,11,348,169,1,0
969,4,77,3,38,0,93,7,11,267,258,0,0
973,4,77,3,34,0,250,7,11,575,297,1,0
974,4,77,3,21,0,93,7,16,120,224,1,0
975,4,77,3,21,0,94,6,11,266,285,0,0
976,4,77,3,39,0,112,7,11,218,170,0,0
977,4,77,3,21,0,93,7,11,98,169,1,0
978,4,77,3,21,0,160,9,11,347,169,1,0
980,4,72,3,21,0,229,7,16,77,36,0,0
985,4,74,3,27,0,93,8,11,298,127,0,0
987,4,77,3,21,0,234,7,11,550,117,1,0
988,5,77,3,39,0,213,7,11,88,268,1,0
994,4,32,3,20,0,191,7,16,375,288,0,0
1000,4,77,3,14,0,264,9,8,391,130,1,0
1001,4,77,3,39,0,93,7,15,567,182,0,0
1004,4,31,3,39,0,93,7,15,426,127,1,0
1005,4,31,3,39,0,93,7,15,234,179,1,0
1008,4,77,3,21,0,250,9,11,592,285,1,0
1013,4,4,3,0,0,93,2,15,449,232,1,0
1015,4,74,3,38,0,94,2,16,287,181,1,0
1017,4,74,3,38,0,160,7,9,210,285,1,0
1018,4,77,3,21,0,160,7,16,235,42,0,0
1025,4,19,3,61,0,93,8,16,287,127,1,0
1028,4,74,3,20,0,94,7,11,262,157,0,0
1029,1,39,3,33,0,222,10,16,542,294,1,0
1033,4,77,3,39,0,199,7,11,507,237,1,0
1037,4,74,3,26,0,94,7,11,351,0,1,0
1043,4,74,3,20,0,1,7,9,488,75,1,0
1047,4,67,3,20,0,78,11,11,339,59,0,0
1048,4,30,3,61,0,19,10,16,372,279,0,0
1062,4,31,3,21,0,160,7,16,469,131,1,0
1069,4,77,3,39,0,180,7,11,291,58,1,0
1090,1,39,3,33,0,222,10,15,542,11,0,0
5,4,35,0,50,0,116,10,15,34,44,0,0
8,4,35,0,50,0,284,10,11,474,117,0,0
10,18,26,0,21,0,250,7,11,53,42,0,0
16,4,71,0,52,0,93,7,0,541,304,0,0
21,18,77,0,2,0,261,7,0,245,285,1,0
35,4,74,0,47,0,156,7,0,247,301,0,0
37,4,74,0,78,0,171,10,9,514,299,1,0
55,4,77,0,49,0,180,10,14,598,0,0,0
58,4,77,0,48,0,154,10,14,485,96,1,0
60,4,35,0,50,0,279,10,15,157,250,0,0
62,18,35,0,1,0,244,7,6,294,285,0,0
64,4,48,0,73,0,176,7,15,283,44,1,0
74,14,44,0,32,0,180,7,15,552,304,0,0
82,13,77,0,48,0,101,9,15,594,310,1,0
84,4,50,0,54,0,57,10,16,11,108,1,0
89,4,71,0,63,0,93,6,8,596,304,0,0
91,4,77,0,52,0,94,7,14,400,111,1,0
93,4,52,0,47,0,160,7,15,506,127,0,0
99,4,34,0,52,0,93,6,11,540,60,0,0
119,4,35,0,61,0,236,7,16,530,228,0,0
120,4,77,0,40,0,39,7,16,453,47,0,0
123,4,67,0,47,0,93,7,0,359,304,1,0
124,4,30,0,62,0,160,7,15,146,195,0,0
125,4,30,0,62,0,160,7,14,472,101,1,0
131,18,31,0,62,0,231,6,15,143,38,1,0
132,18,52,0,52,0,93,9,4,596,158,0,0
134,4,40,0,47,0,85,7,11,543,294,0,0
135,18,35,0,47,0,235,7,8,149,64,1,0
139,4,33,0,63,0,160,7,4,210,75,1,0
142,4,40,0,68,0,171,6,4,292,33,0,0
144,4,77,0,40,0,114,7,4,126,202,0,0
149,4,30,0,68,0,160,0,11,210,119,0,0
157,18,30,0,68,0,279,7,8,421,127,1,0
165,18,77,0,49,0,106,6,11,69,227,1,0
173,6,73,0,54,0,113,10,10,494,217,1,0
176,6,65,0,48,0,133,7,8,139,181,0,0
179,4,77,0,35,0,35,9,8,155,228,1,0
180,18,77,0,42,0,250,7,8,378,278,1,0
188,4,74,0,68,0,176,7,9,306,164,1,0
192,4,14,0,49,0,101,7,11,285,252,0,0
196,4,35,0,48,0,160,7,8,109,304,1,0
197,4,35,0,68,0,160,7,0,548,87,0,0
193,4,35,0,52,0,93,9,15,477,304,0,0
194,4,14,0,49,0,94,7,4,482,114,0,0
198,4,14,0,68,0,170,6,4,253,279,0,0
201,4,52,0,68,0,171,10,15,279,172,0,0
202,9,52,0,68,0,285,5,8,302,304,1,0
203,19,52,0,35,0,94,7,4,35,145,0,0
204,17,74,0,61,0,175,6,0,256,248,1,1
206,4,27,0,61,0,160,10,0,81,299,1,0
207,6,52,0,52,0,93,7,0,541,303,0,0
208,4,74,0,47,0,93,7,0,429,132,1,0
211,13,77,0,52,0,113,7,5,598,181,0,0
212,13,50,0,48,0,94,7,8,163,87,1,0
213,4,4,0,52,0,113,7,0,536,303,1,0
214,4,30,0,24,0,62,3,0,44,285,1,0
215,4,77,0,52,0,93,7,15,594,285,1,0
216,4,67,0,47,0,285,7,1,596,250,1,0
217,13,50,0,14,0,160,7,15,390,80,1,0
219,8,52,0,54,0,93,9,15,142,115,0,0
221,18,77,0,2,0,100,9,15,515,309,0,0
225,4,68,0,62,0,66,7,16,441,191,0,0
226,4,40,0,61,0,171,7,4,230,237,0,0
227,13,77,0,61,0,140,6,8,190,311,1,0
230,18,77,0,48,0,135,10,4,334,302,1,0
234,13,77,0,48,0,101,6,15,209,78,1,0
235,4,35,0,13,0,160,10,4,588,302,1,0
238,4,35,0,73,0,110,9,15,122,155,1,0
246,18,18,0,40,0,285,7,11,562,0,0,0
248,18,35,0,62,0,279,7,4,596,191,0,0
250,4,35,0,68,0,93,7,15,210,241,0,0
251,4,50,0,48,0,93,10,11,294,127,1,0
264,4,52,0,61,0,67,7,8,357,39,0,0
266,4,35,0,48,0,176,10,5,164,30,1,0
268,18,63,0,71,0,105,7,15,204,87,0,0
271,17,74,0,33,0,159,6,0,227,88,1,1
272,14,35,0,19,0,106,9,15,479,309,1,0
277,5,28,0,60,0,219,7,2,179,0,0,0
278,4,9,0,62,0,279,10,11,536,304,0,0
279,4,77,0,48,0,93,7,4,299,304,1,0
280,18,66,0,62,0,250,7,15,546,310,0,0
284,13,35,0,61,0,93,7,4,441,75,0,0
286,0,52,0,61,0,171,6,15,302,49,1,0
291,4,31,0,48,0,177,10,4,210,5,1,0
295,4,77,0,42,0,94,7,11,520,127,1,0
296,4,77,0,52,0,93,7,8,326,285,1,0
297,4,77,0,52,0,180,7,11,516,285,1,0
303,4,67,0,61,0,160,7,15,93,54,0,0
305,4,70,0,40,0,127,10,8,45,304,1,0
307,18,52,0,48,0,278,7,8,441,309,0,0
308,9,52,0,34,0,199,10,8,501,304,0,0
310,4,52,0,61,0,67,7,14,67,41,0,0
315,4,52,0,61,0,93,5,15,64,11,0,0
323,14,35,0,48,0,93,7,11,592,285,0,0
1099,4,40,0,80,0,93,7,15,435,127,1,0
324,4,40,0,52,0,93,11,11,568,0,1,0
325,4,67,0,39,0,93,3,4,562,304,0,0
331,19,52,0,39,0,238,7,8,590,304,0,0
336,4,35,0,61,0,193,10,4,461,181,0,0
339,13,18,0,41,0,83,10,11,439,218,0,0
342,13,52,0,62,0,171,7,11,468,299,0,0
341,13,30,0,47,0,160,10,8,241,213,0,0
345,19,52,0,61,0,272,7,14,408,11,0,0
346,13,18,0,68,0,171,7,11,304,181,0,0
348,13,18,0,61,0,160,7,15,594,181,0,0
351,13,14,0,61,0,93,9,15,254,181,0,0
361,4,14,0,68,0,93,2,8,441,105,1,0
362,4,77,0,49,0,109,9,8,210,75,0,0
368,4,50,0,52,0,93,7,0,598,309,1,0
370,6,52,0,38,0,194,10,8,566,304,0,0
375,18,36,0,80,0,290,7,15,331,181,1,0
376,4,35,0,61,0,279,9,11,584,290,0,0
377,4,12,0,73,0,176,2,15,248,145,0,0
380,4,77,0,42,0,113,7,11,146,127,1,0
383,13,77,0,42,0,67,2,8,210,236,1,0
392,4,40,0,80,0,93,7,4,385,216,1,0
393,4,40,0,80,0,93,7,4,290,299,1,0
391,4,40,0,80,0,93,7,4,264,141,1,0
394,4,35,0,80,0,152,1,4,210,9,0,0
396,13,35,0,47,0,250,5,15,48,307,0,0
405,4,4,0,0,0,180,5,14,491,263,1,0
406,18,13,0,71,0,285,6,7,495,118,1,0
409,13,77,0,48,0,102,9,15,388,32,1,0
410,13,35,0,64,0,160,10,11,363,7,0,0
413,13,77,0,48,0,93,11,4,300,228,1,0
416,4,40,0,49,0,118,6,4,127,228,0,0
420,4,31,0,49,0,94,7,11,197,304,0,0
425,2,52,0,48,0,93,7,4,218,263,1,0
429,13,77,0,48,0,119,6,4,306,78,1,0
437,13,35,0,80,0,93,5,11,546,145,0,0
439,4,77,0,69,0,166,9,15,377,304,0,0
442,4,31,0,39,0,19,7,4,116,294,0,0
449,4,52,0,48,0,161,7,8,412,282,0,0
455,4,30,0,46,0,93,7,11,336,285,1,0
461,4,33,0,63,0,93,7,4,156,296,1,0
462,4,77,0,67,0,160,9,15,553,299,1,0
465,4,33,0,33,0,160,7,15,597,78,0,0
469,6,18,0,80,0,171,7,15,304,256,0,0
477,4,35,0,67,0,145,10,9,382,285,0,0
481,4,61,0,47,0,93,7,4,210,0,0,0
485,9,77,0,49,0,93,7,4,380,211,0,0
488,5,77,0,62,0,160,6,4,270,264,1,0
478,19,40,0,47,0,148,9,11,286,0,0,0
489,19,52,0,14,0,33,9,15,104,151,1,0
490,4,18,0,42,0,101,7,11,289,299,0,0
493,13,50,0,48,0,292,10,15,359,95,1,0
499,18,50,0,49,0,12,7,11,19,290,1,0
502,4,40,0,68,0,160,6,8,247,268,0,0
503,9,70,0,61,0,160,10,11,279,10,0,0
504,1,52,0,48,0,90,11,8,582,128,1,0
506,4,77,0,62,0,176,7,16,563,304,1,0
508,4,30,0,38,0,93,7,4,81,127,1,0
513,4,35,0,61,0,17,5,15,566,191,0,0
515,4,14,0,62,0,179,10,4,155,165,0,0
521,4,70,0,52,0,128,5,11,590,66,0,0
523,18,70,0,74,0,152,2,11,210,97,1,0
526,18,70,0,61,0,176,10,14,63,272,1,0
538,5,77,0,42,0,127,7,4,301,109,0,0
549,18,67,0,49,0,10,0,8,488,40,1,0
556,18,35,0,62,0,9,7,14,33,228,0,0
558,4,52,0,62,0,93,7,15,54,307,0,0
561,13,77,0,8,0,116,9,4,250,233,0,0
564,4,35,0,48,0,176,10,15,164,30,1,0
566,13,35,0,61,0,114,6,4,410,190,0,0
589,4,77,0,61,0,120,9,11,295,133,0,0
591,4,11,0,58,0,203,10,14,398,302,0,0
595,4,77,0,52,0,93,7,14,238,290,0,0
603,13,77,0,48,0,40,7,8,81,49,0,0
604,4,35,0,62,0,93,10,15,359,284,0,0
608,4,52,0,62,0,67,7,8,380,127,1,0
613,18,74,0,39,0,254,7,6,73,205,1,0
615,4,52,0,48,0,42,7,2,217,195,1,0
622,4,31,0,21,0,93,7,3,266,299,1,0
626,13,77,0,48,0,93,7,8,441,161,1,0
632,4,4,0,21,0,22,11,3,246,0,1,0
636,4,71,0,3,0,285,6,8,373,5,1,0
640,13,70,0,38,0,19,7,10,0,243,0,0
652,4,9,0,61,0,196,7,15,265,229,0,0
653,4,52,0,47,0,250,7,4,62,181,0,0
656,18,77,0,48,0,225,7,15,440,268,1,0
662,9,35,0,44,0,58,7,4,37,256,0,0
664,4,31,0,48,2,276,5,4,259,304,1,0
665,4,77,0,42,0,189,9,4,430,284,0,0
675,18,4,0,76,0,93,7,0,448,132,0,0
687,13,77,0,52,0,220,7,11,526,181,1,0
690,18,73,0,21,0,208,7,11,531,304,1,0
691,4,4,0,68,0,93,6,0,112,285,1,0
694,4,4,0,61,0,147,10,16,596,0,1,0
695,4,40,0,58,0,250,2,5,598,304,0,0
700,13,50,0,62,0,93,7,15,54,108,1,0
704,13,35,0,61,0,93,7,15,210,117,0,0
706,14,77,0,48,0,289,8,8,329,181,1,0
709,4,10,0,77,0,50,10,6,457,284,0,0
710,4,6,0,38,0,160,10,11,588,304,0,0
712,4,35,0,48,0,93,7,16,307,113,0,0
715,4,40,0,68,0,160,7,11,210,66,0,0
720,13,70,0,47,0,279,11,14,243,190,0,0
723,4,40,0,68,0,171,10,8,247,285,1,0
724,4,77,0,49,0,93,7,11,273,287,1,0
727,16,71,0,13,0,160,7,11,578,5,1,0
728,4,35,0,48,0,93,7,8,180,160,0,0
736,13,35,0,62,0,171,7,11,434,250,0,0
755,4,77,0,73,0,279,7,11,441,284,0,0
