cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
Anster,https://www.cheese.com/anster/,cow,Scotland,Fife,Cheddar,"semi-hard, artisan",36.40%,736.8 mg/100g,"crumbly, dry",,ivory,milky,"milky, rich",,,,,St Andrews Farmhouse Cheese Company
Appenzeller,https://www.cheese.com/appenzeller/,cow,Switzerland,,Cheddar,"hard, artisan",37.50%,780.1 mg/100g,firm,washed,,"fruity, nutty",strong,,,,"Appenzeller Classic, Appenzeller Surchoix, Appenzeller Extra",
Apple Walnut Smoked,https://www.cheese.com/apple-walnut-smoked/,cow,United States,Utah,Cheddar,"hard, artisan",37.80%,718.3 mg/100g,"creamy, smooth",,yellow,"nutty, smokey , sweet","nutty, smokey, sweet",TRUE,FALSE,"Smoked Apple Walnut, Promontory Apple Walnut Smoked",,Beehive Cheese Company
Appleby's Double Gloucester,https://www.cheese.com/applebys-double-gloucester/,cow,"England, Great Britain, United Kingdom",Gloucestershire,Cheddar,"hard, artisan",39.10%,780.0 mg/100g,"crumbly, dense, firm, flaky, smooth",natural,golden yellow,"mellow, milky, nutty, subtle, tangy","subtle, sweet",TRUE,FALSE,,,Appleby's
Applewood,https://www.cheese.com/applewood/,cow,"England, Great Britain, United Kingdom",Somerset,Cheddar,semi-hard,36.10%,775.2 mg/100g,"crumbly, dense",natural,yellow,"smokey , spicy",smokey,TRUE,FALSE,Applewood smoked cheddar,,Ilchester Cheese Company
Aragon,https://www.cheese.com/aragon/,,Spain,,Cheddar,,35.70%,777.9 mg/100g,,,,,,,,,,
Ardsallagh Hard Goat's Cheese,https://www.cheese.com/ardsallagh-hard-goats-cheese/,goat,Ireland,Carrigtwohill,Cheddar,"semi-hard, artisan",36.80%,748.2 mg/100g,"firm, smooth",natural,white,"nutty, salty, smooth",,TRUE,FALSE,,,Ardsallagh Goats Farm
Ardsallagh Smoked Cheese,https://www.cheese.com/ardsallagh-smoked-cheese/,goat,Ireland,Carrigtwohill,Cheddar,"semi-hard, artisan",36.50%,758.1 mg/100g,"firm, smooth",natural,white,"mild, nutty, smokey , sweet",,TRUE,FALSE,,,Ardsallagh Goats Farm
Ardsallagh Soft Goat's Cheese,https://www.cheese.com/ardsallagh-soft-goats-cheese/,,,Carrigtwohill,Cheddar,,39.50%,747.8 mg/100g,,natural,white,,,TRUE,FALSE,,,Ardsallagh Goats Farm
Armenian String Cheese,https://www.cheese.com/armenian-string-cheese/,"cow, goat, sheep",Armenia,,Cheddar,semi-soft,36.30%,766.2 mg/100g,"creamy, smooth, springy",,white,mild,,,,"Syrian String Cheese, Chechil",,
Aromes au Gene de Marc,https://www.cheese.com/aromes-au-gene-de-marc/,"cow, goat",France,Rhône-Alpes,Cheddar,"semi-soft, artisan",36.40%,703.1 mg/100g,"creamy, flaky",natural,white,strong,"fermented, pungent",FALSE,FALSE,,,
Assa,https://www.cheese.com/assa/,goat,United States,"Tomales, California",Cheddar,,35.70%,729.2 mg/100g,,natural,,,,,,,,Tomales Farmstead Creamery
Aubisque Pyrenees,https://www.cheese.com/aubisque-pyrenees/,"cow, sheep",France,Béarnaise in Pyrénées-Atlantique,Cheddar,semi-hard,37.00%,728.1 mg/100g,smooth,natural,,"mild, smooth",,FALSE,FALSE,,,
Auld Lochnagar,https://www.cheese.com/auld-lochnagar/,cow,Scotland,,Cheddar,hard,39.60%,741.2 mg/100g,"compact, crumbly",natural,orange,"grassy, mellow, subtle, tangy",mild,,,,,The Cambus O’May Cheese Company
Austrian Alps cheese,https://www.cheese.com/austrian-alps/,cow,Switzerland,,Cheddar,,35.70%,702.4 mg/100g,smooth,,,"nutty, spicy","aromatic, nutty, spicy",FALSE,FALSE,,,
Autun,https://www.cheese.com/autun/,"cow, goat",France,Burgundy,Cheddar,"fresh soft, artisan",37.70%,798.4 mg/100g,creamy,rindless,white,acidic,,FALSE,FALSE,,,
Avonlea Clothbound Cheddar,https://www.cheese.com/avonlea-clothbound-cheddar/,cow,Canada,Prince Edward Island,Cheddar,"hard, artisan",39.30%,784.6 mg/100g,"creamy, crumbly, firm",cloth wrapped,straw,"fruity, mushroomy, savory",,TRUE,FALSE,,,COWS Inc.
Babybel,https://www.cheese.com/babybel/,cow,France,,Cheddar,semi-hard,39.60%,715.1 mg/100g,smooth,waxed,,,,,,,,
Baguette Laonnaise,https://www.cheese.com/baguette-laonnaise/,cow,France,Ile-de-France/Champagne,Cheddar,"soft, artisan",37.20%,706.8 mg/100g,"open, supple",washed,pale yellow,spicy,pungent,FALSE,FALSE,Baguette Lyonnaise,,
Balaton,https://www.cheese.com/balaton/,cow,Hungary,,Cheddar,semi-hard,35.50%,742.1 mg/100g,firm,natural,pale yellow,"acidic, mild",,FALSE,FALSE,,,
Baluchon,https://www.cheese.com/baluchon/,cow,Canada,Quebec,Cheddar,semi-soft,36.00%,718.6 mg/100g,creamy,washed,ivory,"acidic, creamy, earthy, salty","earthy, mild",FALSE,FALSE,Le Baluchon,,Fromageries Jonathan
Barber's 1833,https://www.cheese.com/barbers-1833/,cow,England,,Cheddar,hard,37.40%,777.8 mg/100g,creamy,,,"sweet, tangy",,TRUE,FALSE,,,AJ & RE Barber Ltd
Barely Buzzed,https://www.cheese.com/barely-buzzed/,cow,United States,Utah,Cheddar,"hard, artisan",36.90%,775.9 mg/100g,"creamy, smooth",natural,pale yellow,"butterscotch, caramel","aromatic, rich",TRUE,FALSE,,,Beehive Cheese Company
Barry's Bay Cheddar,https://www.cheese.com/barrys-bay-cheddar/,cow,New Zealand,Banks Peninsular in Canterbury,Cheddar,"hard, artisan",37.60%,722.0 mg/100g,creamy,cloth wrapped,,,,FALSE,FALSE,,,Barry's Bay
Batzos,https://www.cheese.com/batzos/,"goat, sheep",Greece,"Central and Western Macedonia, Thessaly",Cheddar,semi-hard,37.90%,754.7 mg/100g,dry,,white,"piquant, salty, sour, spicy",pleasant,FALSE,FALSE,,,
Bavarian Bergkase,https://www.cheese.com/bavarian-bergkase/,cow,Germany,Allgaeu Alps,Cheddar,"hard, artisan",37.90%,748.7 mg/100g,"crumbly, firm, open",natural,pale yellow,"full-flavored, nutty, spicy","aromatic, rich",FALSE,FALSE,"Allgäuer Bergkäse DOP, Allgauer Bergkase",Bawarii Bergkäse,
Baylough,https://www.cheese.com/baylough/,cow,Ireland,"County Tipperary, Clogheen",Cheddar,"hard, artisan",39.20%,736.1 mg/100g,"close, firm",waxed,yellow,"garlicky, herbaceous, mild, smokey","herbal, mild",TRUE,FALSE,,Bay Lough,BAY LOUGH CHEESE
Beaufort,https://www.cheese.com/beaufort/,cow,France,,Cheddar,semi-firm,38.90%,775.6 mg/100g,"creamy, smooth",,pale yellow,,"fruity, nutty",FALSE,FALSE,"Beaufort AOP Chalet Alpage Meule, Beaufort AOC",,
Beaumont,https://www.cheese.com/beaumont/,cow,France,Rhône-Alpes,Cheddar,semi-soft,37.00%,759.8 mg/100g,"creamy, smooth",washed,pale yellow,,"barnyardy, earthy, mild, nutty, rich",,,,,
Beauvoorde,https://www.cheese.com/beauvoorde/,cow,Belgium,Flanders,Cheddar,semi-hard,39.30%,750.6 mg/100g,"creamy, firm",natural,yellow,mild,spicy,,,,,
Bega Processed Cheddar,https://www.cheese.com/bega-processed-cheddar/,cow,Australia,,Cheddar,soft,39.10%,794.2 mg/100g,"creamy, smooth",,yellow,creamy,,,,,,Bega Cheese Limited
Bergues,https://www.cheese.com/bergues/,cow,France,Bergues,Cheddar,semi-hard,38.30%,790.7 mg/100g,smooth,washed,,"subtle, sweet",aromatic,FALSE,FALSE,,,
Bermondsey Hard Pressed,https://www.cheese.com/bermondsey-hard-pressed/,cow,"England, Great Britain, United Kingdom","Bermondsey, London",Cheddar,"hard, artisan",39.70%,703.8 mg/100g,"creamy, crumbly, open",natural,yellow,"creamy, nutty",barnyardy,,,,,KAPPACASEIN DAIRY
Bethmale des Pyrenees,https://www.cheese.com/bethmale-des-pyrenees/,cow,France,Pyrenees,Cheddar,semi-hard,39.70%,712.8 mg/100g,,natural,brownish yellow,mild,"aromatic, earthy, mushroom",FALSE,FALSE,,,
Big John's Cajun,https://www.cheese.com/big-johns-cajun/,cow,United States,Utah,Cheddar,"hard, artisan",35.10%,753.7 mg/100g,"creamy, smooth",natural,pale yellow,"smooth, spicy","rich, spicy",TRUE,FALSE,,,Beehive Cheese Company
Bijou,https://www.cheese.com/bijou/,goat,United States,"Websterville, VT",Cheddar,"semi-soft, artisan",37.50%,735.1 mg/100g,"creamy, smooth",mold ripened,,"sharp, sweet, tangy, yeasty","fresh, yeasty",,,,,Vermont Creamery
Bismark,https://www.cheese.com/bismark/,sheep,United States,Vermont,Cheddar,"semi-hard, artisan",36.40%,737.9 mg/100g,"crumbly, firm",rindless,yellow,"buttery, creamy, nutty, sweet, tangy",,TRUE,FALSE,,,Grafton Village Cheese Company
Black Bomber Cheddar,https://www.cheese.com/black-bomber-cheddar/,cow,United Kingdom,,Cheddar,hard,38.30%,725.1 mg/100g,"buttery, compact, creamy, crumbly",,yellow,,rich,,,"Little Black Bomber, Black Bomber",,Snowdonia Cheese Company Limited
Black Pearl,https://www.cheese.com/black-pearl/,goat,Australia,"Mornington Peninsula, Melbourne",Cheddar,"semi-hard, artisan",39.10%,735.3 mg/100g,firm,ash coated,,mild,fresh,TRUE,FALSE,Boatshed Black Pearl,,BoatShed Cheese
Blaenafon Pwll Ddu,https://www.cheese.com/blaenafon-pwll-ddu/,cow,Wales,,Cheddar,hard,37.30%,747.5 mg/100g,compact,,cream,savory,,,,,,
Blenda,https://www.cheese.com/blenda/,"cow, sheep",Sweden,Oviken,Cheddar,"hard, artisan",38.90%,795.3 mg/100g,,natural,yellow,"acidic, fruity, mild, nutty",,,,,,Oviken cheese
Blissful Blocks,https://www.cheese.com/blissful-blocks/,,"Canada, United States",,Cheddar,hard,38.10%,769.2 mg/100g,"creamy, crumbly",plastic,yellow,"creamy, savory, sharp, spicy",,TRUE,FALSE,"Lactose Free Cheddar Blocks, Lactose & Soy Free Cheddar Blocks, Lactose Free Mozzarella Blocks, Lactose & Soy Free Mozzarella Blocks",,GO Veggie!
Blue Ledge La Luna,https://www.cheese.com/blue-ledge-la-luna/,goat,United States,Vermont,Cheddar,"semi-hard, artisan",38.30%,751.9 mg/100g,"firm, smooth",waxed,white,"creamy, milky, tangy",grassy,FALSE,FALSE,La Luna,,Blue Ledge
Boivin Extra Aged Cheddar,https://www.cheese.com/boivin-extra-aged-cheddar/,cow,Canada,Quebec,Cheddar,hard,35.30%,745.0 mg/100g,"firm, smooth",rindless,straw,"acidic, buttery",,,,,,La Fromagerie Boivin
Boivin Marbled Cheddar,https://www.cheese.com/boivin-marbled-cheddar/,cow,Canada,Quebec,Cheddar,"semi-soft, processed",38.10%,770.4 mg/100g,"firm, smooth",rindless,golden orange,"mild, salty, sweet",buttery,,,,,La Fromagerie Boivin
Boivin Medium Cheddar,https://www.cheese.com/boivin-medium-cheddar/,cow,Canada,Quebec,Cheddar,semi-hard,35.90%,784.4 mg/100g,"firm, smooth",rindless,pale yellow,"acidic, buttery",,,,,,La Fromagerie Boivin
Bootlegger,https://www.cheese.com/bootlegger/,"cow, sheep","Canada, Italy",Lombardy,Cheddar,"hard, artisan",39.10%,786.1 mg/100g,"crumbly, firm",natural,pale yellow,"fruity, full-flavored, strong",floral,,,,,Fifth Town Artisan Cheese
Bothwell Black Truffle Cheddar,https://www.cheese.com/bothwell-black-truffle-cheddar/,cow,Canada,Manitoba,Cheddar,semi-hard,38.20%,759.9 mg/100g,firm,rindless,pale yellow,"earthy, fruity","buttery, rich",,,,,Bothwell Cheese Inc.
Bouncing Berry,https://www.cheese.com/bouncing-berry/,cow,United Kingdom,,Cheddar,hard,37.60%,741.2 mg/100g,creamy,waxed,pale yellow,fruity,,,,,,
Braudostur,https://www.cheese.com/braudostur/,cow,Iceland,,Cheddar,semi-hard,39.70%,747.4 mg/100g,,,,sweet,strong,FALSE,FALSE,,,
Breakfast Cheese,https://www.cheese.com/breakfast-cheese/,cow,United States,California,Cheddar,"fresh firm, soft-ripened",39.60%,705.1 mg/100g,"dense, firm",rindless,white,"citrusy, tangy",fresh,TRUE,FALSE,Petite Breakfast,,Marin French Cheeese Co.
Brightwell Ash,https://www.cheese.com/brightwell-ash/,goat,United Kingdom,South East England,Cheddar,"semi-firm, artisan",39.10%,728.3 mg/100g,smooth,ash coated,pale white,"citrusy, nutty, tangy",mild,TRUE,FALSE,,,
Broncha,https://www.cheese.com/broncha/,"cow, goat",United States,California,Cheddar,"semi-hard, artisan",35.20%,779.3 mg/100g,creamy,mold ripened,straw,"creamy, mild",,FALSE,FALSE,,,Achadinha Cheese Company
Buff Blue,https://www.cheese.com/buff-blue/,buffalo,United States,Southern California,Cheddar,"firm, blue-veined",39.20%,702.7 mg/100g,,natural,blue,smokey,"earthy, smokey",,,,,Bleating Heart Cheese
Burgos,https://www.cheese.com/burgos/,"cow, sheep",Spain,Castille-Leon,Cheddar,fresh soft,39.50%,747.2 mg/100g,creamy,rindless,white,"mild, milky",fresh,FALSE,FALSE,"Queso de Burgos, Fromage Burgos, Burgos käse",,
Burwood Bole,https://www.cheese.com/burwood-bole/,cow,"England, Great Britain, United Kingdom",Dorset,Cheddar,"semi-hard, artisan",38.60%,758.3 mg/100g,firm,washed,pale yellow,"lemony, nutty, sweet",,TRUE,FALSE,,,James’s Cheese
Butte,https://www.cheese.com/butte/,cow,France,,Cheddar,"soft, soft-ripened",36.90%,718.4 mg/100g,smooth,washed,yellow,"bitter, salty","rich, ripe",FALSE,FALSE,,,
Butterkase,https://www.cheese.com/butterkase/,cow,"Austria, Germany",,Cheddar,semi-soft,38.80%,707.3 mg/100g,"creamy, smooth, spreadable",natural,pale yellow,"buttery, mild",,FALSE,FALSE,"butter cheese, Butterkäse",,
Butternut,https://www.cheese.com/butternut/,cow,United States,Vermont,Cheddar,"semi-hard, artisan",36.20%,753.5 mg/100g,"creamy, firm",natural,pale yellow,"buttery, nutty","earthy, mushroom",FALSE,FALSE,,,Willow Hill Farm
Bûchette à la Sarriette,https://www.cheese.com/buchette-la-sarriette/,goat,France,,Cheddar,"soft, processed",39.80%,766.6 mg/100g,,,,,,,,,,
Cabecou Feuille D'Armagnac,https://www.cheese.com/cabecou-feuille-darmagnac/,goat,France,,Cheddar,"fresh soft, artisan",38.20%,765.9 mg/100g,smooth,natural,white,"fruity, spicy, tangy",aromatic,FALSE,FALSE,,,
Cachaille,https://www.cheese.com/cachaille/,goat,France,Puimichel in Provence Alpes,Cheddar,soft,36.60%,729.7 mg/100g,,,,,,FALSE,FALSE,"wrestling, fuorte, toupina",,
Caciotta,https://www.cheese.com/caciotta/,"cow, goat, sheep, water buffalo",Italy,,Cheddar,"semi-soft, artisan",35.70%,776.2 mg/100g,"compact, firm",,,mild,,,,,,
Cacow Belle,https://www.cheese.com/cacow-belle/,cow,United States,Oregon,Cheddar,"semi-soft, artisan",39.00%,714.3 mg/100g,"creamy, smooth",natural,pale yellow,"savory, spicy, sweet","aromatic, spicy",TRUE,FALSE,,,Rogue Creamery
Caerphilly,https://www.cheese.com/caerphilly/,cow,"United Kingdom, Wales","Wales, London",Cheddar,hard,37.70%,769.3 mg/100g,"crumbly, dense",natural,white,"citrusy, mild, tangy",fresh,,,"Duckett's Caerphilly, Duckett's Aged Caerphilly",,
Cahill's Irish Porter Cheddar,https://www.cheese.com/cahills-irish-porter-cheddar/,cow,Ireland,,Cheddar,"semi-hard, artisan",35.70%,790.1 mg/100g,firm,,brownish yellow,"full-flavored, tangy",rich,,,Original Irish Porter,,Cahills Farm Cheese
Cairnsmore,https://www.cheese.com/cairnsmore/,sheep,Scotland,Wigtownshire,Cheddar,"hard, artisan",39.30%,777.8 mg/100g,"crumbly, open, smooth",natural,ivory,"burnt caramel, nutty, sweet",aromatic,TRUE,FALSE,,,Galloway Farmhouse Cheese
Camembert,https://www.cheese.com/camembert/,cow,France,,Cheddar,"soft, artisan",35.50%,743.1 mg/100g,"smooth, soft-ripened",,pale yellow,sweet,"buttery, rich",,,"Camembert Le Châtelain, Camembert St Loup, Camembert Le Chatelain",,
Camembert Calvados,https://www.cheese.com/camembert-calvados/,cow,France,,Cheddar,"soft, semi-soft",35.60%,796.7 mg/100g,"creamy, smooth, springy",,yellow,savory,"aromatic, fruity",,,,,
Canadian Cheddar,https://www.cheese.com/canadian-cheddar/,"cow, goat, sheep",Canada,Ontario,Cheddar,"hard, artisan, processed",38.20%,741.3 mg/100g,"crumbly, open",natural,yellow,"full-flavored, milky, salty, sharp","fresh, rich, strong",FALSE,FALSE,,,Balderson Cheese Company
Canastra cheese,https://www.cheese.com/canastra-cheese/,cow,Brazil,"Serra da Canastra, Minas Gerais state",Cheddar,artisan,36.30%,759.8 mg/100g,,,yellow,spicy,aromatic,,,Queijo Canastra,,
Cantal,https://www.cheese.com/cantal/,cow,France,,Cheddar,"semi-hard, artisan",39.20%,722.2 mg/100g,firm,natural,pale yellow,,,,,"Cantal jeune, Cantal entre-deux, Cantal vieux",,
Cape Vessey,https://www.cheese.com/cape-vessey/,goat,Canada,"Prince Edward County, Ontario",Cheddar,"semi-soft, artisan",39.10%,725.6 mg/100g,"chewy, firm",washed,pale yellow,"acidic, creamy, subtle, sweet","goaty, rich, strong",,,,,
Caprano,https://www.cheese.com/caprano/,goat,Canada,Quebec,Cheddar,"hard, semi-hard",39.50%,730.4 mg/100g,"crumbly, open, smooth",natural,pale yellow,pronounced,"goaty, strong",TRUE,FALSE,,Aged Caprano,La Maison Alexis de Portneuf Inc.
Capriago,https://www.cheese.com/capriago/,goat,United States,"Sebastopol, California",Cheddar,"hard, artisan, brined",39.90%,749.3 mg/100g,firm,washed,,"nutty, sweet","nutty, spicy",,,,,Bohemian Creamery
