cheese,milk,country,family,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
American Cheese,cow,United States,Cheddar,"semi-soft, processed",High,smooth,rindless,yellow,"mild, sweet, tangy",mild,FALSE,FALSE
Amish Frolic,cow,United States,Cheddar,"hard, artisan",High,"flaky, open",natural,pale yellow,"grassy, nutty, sweet",grassy,FALSE,FALSE
Amul Processed Cheese,"cow, water buffalo",India,Cheddar,"hard, processed",High,"crumbly, dense",artificial,yellow,"buttery, creamy, salty","earthy, pungent",TRUE,FALSE
Anari,"goat, sheep",Cyprus,Cheddar,"fresh soft, hard, artisan",High,"brittle, creamy, flaky",natural,white,"creamy, mild, salty","floral, fresh, herbal, perfumed, woody",TRUE,FALSE
Anniversary Ale Cheddar,cow,United States,Cheddar,"semi-hard, artisan",High,"dense, firm",rindless,pale yellow,"creamy, mild, sweet","floral, fruity",TRUE,FALSE
Anster,cow,Scotland,Cheddar,"semi-hard, artisan",High,"crumbly, dry",natural,ivory,milky,"milky, rich",FALSE,FALSE
Appenzeller,cow,Switzerland,Cheddar,"hard, artisan",High,firm,washed,white,"fruity, nutty",strong,FALSE,FALSE
Apple Walnut Smoked,cow,United States,Cheddar,"hard, artisan",High,"creamy, smooth",natural,yellow,"nutty, smokey , sweet","nutty, smokey, sweet",TRUE,FALSE
Appleby's Double Gloucester,cow,"England, Great Britain, United Kingdom",Cheddar,"hard, artisan",High,"crumbly, dense, firm, flaky, smooth",natural,golden yellow,"mellow, milky, nutty, subtle, tangy","subtle, sweet",TRUE,FALSE
Applewood,cow,"England, Great Britain, United Kingdom",Cheddar,semi-hard,High,"crumbly, dense",natural,yellow,"smokey , spicy",smokey,TRUE,FALSE
Ardsallagh Hard Goat's Cheese,goat,Ireland,Cheddar,"semi-hard, artisan",High,"firm, smooth",natural,white,"nutty, salty, smooth","lactic, milky",TRUE,FALSE
Ardsallagh Smoked Cheese,goat,Ireland,Cheddar,"semi-hard, artisan",High,"firm, smooth",natural,white,"mild, nutty, smokey , sweet","aromatic, herbal",TRUE,FALSE
Armenian String Cheese,"cow, goat, sheep",Armenia,Cheddar,semi-soft,High,"creamy, smooth, springy",rindless,white,mild,"fresh, herbal",FALSE,FALSE
Aromes au Gene de Marc,"cow, goat",France,Cheddar,"semi-soft, artisan",High,"creamy, flaky",natural,white,strong,"fermented, pungent",FALSE,FALSE
Aubisque Pyrenees,"cow, sheep",France,Cheddar,semi-hard,High,smooth,natural,white,"mild, smooth",aromatic,FALSE,FALSE
Auld Lochnagar,cow,Scotland,Cheddar,hard,High,"compact, crumbly",natural,orange,"grassy, mellow, subtle, tangy",mild,FALSE,FALSE
Austrian Alps cheese,cow,Switzerland,Cheddar,"fresh soft, artisan",High,smooth,rindless,white,"nutty, spicy","aromatic, nutty, spicy",FALSE,FALSE
Autun,"cow, goat",France,Cheddar,"fresh soft, artisan",High,creamy,rindless,white,acidic,"fresh, herbal",FALSE,FALSE
Avonlea Clothbound Cheddar,cow,Canada,Cheddar,"hard, artisan",High,"creamy, crumbly, firm",cloth wrapped,straw,"fruity, mushroomy, savory","fresh, goaty",TRUE,FALSE
Babybel,cow,France,Cheddar,semi-hard,High,smooth,waxed,yellow,tangy,"herbal, mild, milky",TRUE,FALSE
Baguette Laonnaise,cow,France,Cheddar,"soft, artisan",High,"open, supple",washed,pale yellow,spicy,pungent,FALSE,FALSE
Balaton,cow,Hungary,Cheddar,semi-hard,High,firm,natural,pale yellow,"acidic, mild",goaty,FALSE,FALSE
Baluchon,cow,Canada,Cheddar,semi-soft,High,creamy,washed,ivory,"acidic, creamy, earthy, salty","earthy, mild",FALSE,FALSE
Barber's 1833,cow,England,Cheddar,hard,High,creamy,bloomy,pale yellow,"sweet, tangy",spicy,TRUE,FALSE
Barely Buzzed,cow,United States,Cheddar,"hard, artisan",High,"creamy, smooth",natural,pale yellow,"butterscotch, caramel","aromatic, rich",TRUE,FALSE
Barry's Bay Cheddar,cow,New Zealand,Cheddar,"hard, artisan",High,creamy,cloth wrapped,white,"lemony, mild, milky",spicy,FALSE,FALSE
Batzos,"goat, sheep",Greece,Cheddar,semi-hard,High,dry,bloomy,white,"piquant, salty, sour, spicy",pleasant,FALSE,FALSE
Bavarian Bergkase,cow,Germany,Cheddar,"hard, artisan",High,"crumbly, firm, open",natural,pale yellow,"full-flavored, nutty, spicy","aromatic, rich",FALSE,FALSE
Baylough,cow,Ireland,Cheddar,"hard, artisan",High,"close, firm",waxed,yellow,"garlicky, herbaceous, mild, smokey","herbal, mild",TRUE,FALSE
Beaufort,cow,France,Cheddar,semi-firm,High,"creamy, smooth",rindless,pale yellow,"buttery, nutty","fruity, nutty",FALSE,FALSE
Beaumont,cow,France,Cheddar,semi-soft,High,"creamy, smooth",washed,pale yellow,"smooth, spicy","barnyardy, earthy, mild, nutty, rich",TRUE,FALSE
Beauvoorde,cow,Belgium,Cheddar,semi-hard,High,"creamy, firm",natural,yellow,mild,spicy,TRUE,FALSE
Bega Processed Cheddar,cow,Australia,Cheddar,soft,High,"creamy, smooth",bloomy,yellow,creamy,"aromatic, earthy, mushroom",FALSE,FALSE
Bergues,cow,France,Cheddar,semi-hard,High,smooth,washed,pale yellow,"subtle, sweet",aromatic,FALSE,FALSE
Bermondsey Hard Pressed,cow,"England, Great Britain, United Kingdom",Cheddar,"hard, artisan",High,"creamy, crumbly, open",natural,yellow,"creamy, nutty",barnyardy,FALSE,FALSE
Bethmale des Pyrenees,cow,France,Cheddar,semi-hard,High,"crumbly, smooth",natural,brownish yellow,mild,"aromatic, earthy, mushroom",FALSE,FALSE
Big John's Cajun,cow,United States,Cheddar,"hard, artisan",High,"creamy, smooth",natural,pale yellow,"smooth, spicy","rich, spicy",TRUE,FALSE
Bijou,goat,United States,Cheddar,"semi-soft, artisan",High,"creamy, smooth",mold ripened,yellow,"sharp, sweet, tangy, yeasty","fresh, yeasty",TRUE,FALSE
Bismark,sheep,United States,Cheddar,"semi-hard, artisan",High,"crumbly, firm",rindless,yellow,"buttery, creamy, nutty, sweet, tangy",mushroom,TRUE,FALSE
Black Bomber Cheddar,cow,United Kingdom,Cheddar,hard,High,"buttery, compact, creamy, crumbly",natural,yellow,"floral, herbaceous, sweet",rich,FALSE,FALSE
Black Pearl,goat,Australia,Cheddar,"semi-hard, artisan",High,firm,ash coated,white,mild,fresh,TRUE,FALSE
Blaenafon Pwll Ddu,cow,Wales,Cheddar,hard,High,compact,natural,cream,savory,"earthy, grassy, raw nut, subtle",TRUE,FALSE
Blenda,"cow, sheep",Sweden,Cheddar,"hard, artisan",High,"creamy, open, smooth",natural,yellow,"acidic, fruity, mild, nutty",buttery,FALSE,FALSE
Blissful Blocks,goat,"Canada, United States",Cheddar,hard,High,"creamy, crumbly",plastic,yellow,"creamy, savory, sharp, spicy",mild,TRUE,FALSE
Blue Ledge La Luna,goat,United States,Cheddar,"semi-hard, artisan",High,"firm, smooth",waxed,white,"creamy, milky, tangy",grassy,FALSE,FALSE
Boivin Extra Aged Cheddar,cow,Canada,Cheddar,hard,High,"firm, smooth",rindless,straw,"acidic, buttery",herbal,TRUE,FALSE
Boivin Marbled Cheddar,cow,Canada,Cheddar,"semi-soft, processed",High,"firm, smooth",rindless,golden orange,"mild, salty, sweet",buttery,FALSE,FALSE
Boivin Medium Cheddar,cow,Canada,Cheddar,semi-hard,High,"firm, smooth",rindless,pale yellow,"acidic, buttery","mushroom, spicy",FALSE,FALSE
Bootlegger,"cow, sheep","Canada, Italy",Cheddar,"hard, artisan",High,"crumbly, firm",natural,pale yellow,"fruity, full-flavored, strong",floral,TRUE,FALSE
Bothwell Black Truffle Cheddar,cow,Canada,Cheddar,semi-hard,High,firm,rindless,pale yellow,"earthy, fruity","buttery, rich",TRUE,FALSE
Bouncing Berry,cow,United Kingdom,Cheddar,hard,High,creamy,waxed,pale yellow,fruity,"aromatic, fresh",FALSE,FALSE
Braudostur,cow,Iceland,Cheddar,semi-hard,High,dense,mold ripened,cream,sweet,strong,FALSE,FALSE
Breakfast Cheese,cow,United States,Cheddar,"fresh firm, soft-ripened",High,"dense, firm",rindless,white,"citrusy, tangy",fresh,TRUE,FALSE
Brightwell Ash,goat,United Kingdom,Cheddar,"semi-firm, artisan",High,smooth,ash coated,pale white,"citrusy, nutty, tangy",mild,TRUE,FALSE
Broncha,"cow, goat",United States,Cheddar,"semi-hard, artisan",High,creamy,mold ripened,straw,"creamy, mild","mild, nutty, smokey, yeasty",FALSE,FALSE
Buff Blue,buffalo,United States,Cheddar,"firm, blue-veined",High,"creamy, smooth, spreadable",natural,blue,smokey,"earthy, smokey",TRUE,FALSE
Burgos,"cow, sheep",Spain,Cheddar,fresh soft,High,creamy,rindless,white,"mild, milky",fresh,FALSE,FALSE
Burwood Bole,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-hard, artisan",High,firm,washed,pale yellow,"lemony, nutty, sweet",aromatic,TRUE,FALSE
Butte,cow,France,Cheddar,"soft, soft-ripened",High,smooth,washed,yellow,"bitter, salty","rich, ripe",FALSE,FALSE
Butterkase,cow,"Austria, Germany",Cheddar,semi-soft,High,"creamy, smooth, spreadable",natural,pale yellow,"buttery, mild",fresh,FALSE,FALSE
Butternut,cow,United States,Cheddar,"semi-hard, artisan",High,"creamy, firm",natural,pale yellow,"buttery, nutty","earthy, mushroom",FALSE,FALSE
Cabecou Feuille D'Armagnac,goat,France,Cheddar,"fresh soft, artisan",High,smooth,natural,white,"fruity, spicy, tangy",aromatic,FALSE,FALSE
Cachaille,goat,France,Cheddar,soft,High,"crumbly, crystalline, firm, smooth",natural,cream,"bitter, buttery, mild, milky, salty","earthy, grassy",FALSE,FALSE
Caciotta,"cow, goat, sheep, water buffalo",Italy,Cheddar,"semi-soft, artisan",High,"compact, firm",natural,golden yellow,mild,"fresh, lactic",TRUE,FALSE
Cacow Belle,cow,United States,Cheddar,"semi-soft, artisan",High,"creamy, smooth",natural,pale yellow,"savory, spicy, sweet","aromatic, spicy",TRUE,FALSE
Caerphilly,cow,"United Kingdom, Wales",Cheddar,hard,High,"crumbly, dense",natural,white,"citrusy, mild, tangy",fresh,FALSE,FALSE
Cahill's Irish Porter Cheddar,cow,Ireland,Cheddar,"semi-hard, artisan",High,firm,washed,brownish yellow,"full-flavored, tangy",rich,FALSE,FALSE
Cairnsmore,sheep,Scotland,Cheddar,"hard, artisan",High,"crumbly, open, smooth",natural,ivory,"burnt caramel, nutty, sweet",aromatic,TRUE,FALSE
Camembert,cow,France,Cheddar,"soft, artisan",High,"smooth, soft-ripened",natural,pale yellow,sweet,"buttery, rich",FALSE,FALSE
Camembert Calvados,cow,France,Cheddar,"soft, semi-soft",High,"creamy, smooth, springy",mold ripened,yellow,savory,"aromatic, fruity",FALSE,FALSE
Canadian Cheddar,"cow, goat, sheep",Canada,Cheddar,"hard, artisan, processed",High,"crumbly, open",natural,yellow,"full-flavored, milky, salty, sharp","fresh, rich, strong",FALSE,FALSE
Canastra cheese,cow,Brazil,Cheddar,artisan,High,creamy,natural,yellow,spicy,aromatic,TRUE,FALSE
Cantal,cow,France,Cheddar,"semi-hard, artisan",High,firm,natural,pale yellow,"acidic, herbaceous","barnyardy, herbal",FALSE,FALSE
Cape Vessey,goat,Canada,Cheddar,"semi-soft, artisan",High,"chewy, firm",washed,pale yellow,"acidic, creamy, subtle, sweet","goaty, rich, strong",FALSE,FALSE
Caprano,goat,Canada,Cheddar,"hard, semi-hard",High,"crumbly, open, smooth",natural,pale yellow,pronounced,"goaty, strong",TRUE,FALSE
Capriago,goat,United States,Cheddar,"hard, artisan, brined",High,firm,washed,pale yellow,"nutty, sweet","nutty, spicy",FALSE,FALSE
Caprotto,goat,Italy,Cheddar,"hard, artisan",High,compact,natural,straw,"sharp, spicy","floral, strong",FALSE,FALSE
Carabiner,cow,United States,Cheddar,"semi-hard, artisan",High,"dense, firm",natural,yellow,"nutty, salty, sweet",earthy,TRUE,FALSE
Carlow,cow,Ireland,Cheddar,"semi-hard, artisan",High,"firm, smooth",waxed,golden yellow,"mild, savory, spicy","earthy, nutty, smokey",TRUE,FALSE
Carnia Altobut,cow,Italy,Cheddar,"hard, artisan",High,"compact, elastic, firm, open",natural,pale yellow,"pronounced, strong, subtle","aromatic, floral",FALSE,FALSE
Carrick,cow,Scotland,Cheddar,"hard, organic",High,creamy,edible,cream,citrusy,earthy,TRUE,FALSE
Carrot Rebel,cow,Austria,Cheddar,"semi-hard, artisan",High,creamy,natural,orange,"creamy, fruity, nutty, sweet","aromatic, fruity, sweet",FALSE,FALSE
Castelo Branco,"goat, sheep",Portugal,Cheddar,"semi-soft, artisan",High,"brittle, creamy, crumbly, firm, smooth",natural,pale yellow,"sour, spicy, tangy",aromatic,TRUE,FALSE
Castigliano,"cow, goat, sheep",Spain,Cheddar,hard,High,firm,natural,yellow,"acidic, salty, spicy",rich,FALSE,FALSE
Cave Rebel,cow,Austria,Cheddar,"hard, artisan",High,"compact, crumbly, firm, open",natural,pale yellow,"creamy, grassy","aromatic, nutty",FALSE,FALSE
Cello Thick & Smooth Mascarpone,cow,United States,Cheddar,"fresh soft, processed",High,"buttery, creamy, firm, smooth",rindless,white,"creamy, milky, sweet","fresh, milky",FALSE,FALSE
Celtic Promise,cow,United Kingdom,Cheddar,"semi-soft, artisan",High,creamy,washed,yellow,full-flavored,pungent,TRUE,FALSE
Cerney Pyramid,goat,"England, Great Britain, United Kingdom",Cheddar,"fresh soft, artisan",High,creamy,natural,white,"citrusy, lemony, mild, sweet","grassy, sweet",TRUE,FALSE
Chabichou du Poitou,goat,France,Cheddar,"semi-soft, artisan",High,creamy,natural,white,"salty, sweet, tangy",goaty,TRUE,FALSE
Chabis de Gatine,goat,France,Cheddar,"soft, artisan",High,"firm, smooth",natural,white,"salty, sharp",goaty,FALSE,FALSE
Challerhocker,cow,Switzerland,Cheddar,hard,High,"creamy, dense, smooth",washed,pale yellow,"caramel, nutty, salty, sweet","nutty, sweet",FALSE,FALSE
Checkerboard Cheddar,cow,United States,Cheddar,"semi-hard, artisan",High,crumbly,natural,pale yellow,"sharp, sweet, tangy",pleasant,TRUE,FALSE
Cheddar,cow,England,Cheddar,hard,High,compact,natural,pale yellow,"creamy, sharp","fresh, lactic, pleasant",FALSE,FALSE
Cheddar LaDiDa Lavender,cow,United States,Cheddar,"semi-hard, artisan",High,"creamy, smooth",natural,white,"herbaceous, savory, subtle",earthy,TRUE,FALSE
Cheddar with Irish Porter,cow,Ireland,Cheddar,"semi-hard, artisan",High,smooth,rindless,pale yellow,"fruity, tangy","pungent, rich",FALSE,FALSE
Cheddar with Red Wine,cow,Ireland,Cheddar,"semi-hard, artisan",High,firm,natural,pale yellow,"fruity, tangy","fruity, rich",TRUE,FALSE
Cheese Curds,cow,"Canada, India, United States",Cheddar,fresh firm,High,"firm, springy",natural,white,"mild, milky",fresh,FALSE,FALSE
Cheshire,cow,United Kingdom,Cheddar,hard,High,"crumbly, dense",cloth wrapped,orange,earthy,"grassy, spicy",FALSE,FALSE
Chevre Log,goat,United States,Cheddar,fresh soft,High,"creamy, crumbly, smooth, spreadable",rindless,white,"citrusy, creamy","fresh, mild",TRUE,FALSE
Childwickbury,goat,"England, Great Britain, United Kingdom",Cheddar,"fresh soft, artisan",High,"creamy, smooth",natural,white,"citrusy, lemony, mild, milky","floral, fresh, mild, milky",TRUE,FALSE
Chilli Caciotta,"cow, sheep",Italy,Cheddar,"semi-soft, artisan",High,"creamy, smooth",rindless,white,spicy,"clean, lactic",TRUE,FALSE
Chocolate Lab,cow,United States,Cheddar,"hard, artisan",High,firm,washed,pale yellow,"pungent, sharp, sweet",rich,TRUE,FALSE
Chocolate Stout Cheddar,cow,United States,Cheddar,"semi-hard, artisan",High,firm,natural,pale yellow,"savory, sweet, tangy",buttery,TRUE,FALSE
Chèvre,goat,France,Cheddar,"fresh soft, artisan",High,compact,mold ripened,white,tangy,goaty,TRUE,FALSE
Chèvre des neiges,"cow, goat",Canada,Cheddar,fresh soft,High,"soft, spreadable, supple",rindless,white,"fruity, mild, nutty","aromatic, fresh, fruity",TRUE,FALSE
Coalho,cow,Brazil,Cheddar,semi-hard,High,"elastic, firm, springy",natural,yellow,"acidic, salty",fresh,FALSE,FALSE
Coastal Cheddar,cow,England,Cheddar,firm,High,"elastic, firm, open",rindless,pale yellow,"crunchy, sweet",nutty,FALSE,FALSE
Colby,cow,United States,Cheddar,semi-hard,High,"firm, open, springy",rindless,yellow,sweet,"mild, sweet",FALSE,FALSE
Colony cheese,cow,Brazil,Cheddar,"semi-hard, artisan",High,"creamy, open, soft, supple",natural,pale yellow,"creamy, pungent, spicy","lactic, pungent, spicy",FALSE,FALSE
Comte 12 months,cow,France,Cheddar,semi-hard,High,buttery,washed,yellow,milky,nutty,FALSE,FALSE
Comte 18 months,cow,France,Cheddar,hard,High,firm,natural,yellow,fruity,nutty,FALSE,FALSE
Conciato Al Pepe,cow,Italy,Cheddar,hard,High,"compact, crumbly",natural,pale yellow,"sharp, spicy",aromatic,FALSE,FALSE
Connemara,cow,United States,Cheddar,"semi-hard, artisan",High,"creamy, firm",natural,white,"fruity, mild","fruity, goaty, rich",TRUE,FALSE
Coolattin Cheddar,cow,Ireland,Cheddar,"hard, artisan",High,"crumbly, open",waxed,pale yellow,"fruity, nutty, sweet",herbal,FALSE,FALSE
Cornish Blue,cow,England,Cheddar,"semi-soft, artisan",High,"buttery, dense",leaf wrapped,white,"creamy, mild, sweet","buttery, mild, sweet",TRUE,FALSE
Cornish Crumbly,cow,England,Cheddar,"semi-soft, artisan",High,chalky,mold ripened,ivory,creamy,rich,TRUE,FALSE
Cornish Smuggler,cow,England,Cheddar,"semi-soft, artisan",High,creamy,mold ripened,ivory,creamy,rich,TRUE,FALSE
Cornish Wild Garlic Yarg,cow,England,Cheddar,"semi-firm, artisan",High,crumbly,leaf wrapped,pale yellow,garlicky,"garlicky, herbal",TRUE,FALSE
Cotherstone,cow,"England, United Kingdom",Cheddar,"semi-hard, artisan",High,"crumbly, open",waxed,pale yellow,"acidic, citrusy, tangy",fresh,TRUE,FALSE
Cougar Gold,cow,United States,Cheddar,semi-soft,High,"creamy, crumbly, crystalline, firm, smooth",rindless,white,"nutty, sharp",smokey,FALSE,FALSE
Country Morning,cow,Canada,Cheddar,"hard, artisan",High,"creamy, crumbly",natural,pale yellow,"nutty, sharp",strong,FALSE,FALSE
Coverdale,cow,"England, United Kingdom",Cheddar,"hard, artisan",High,"creamy, firm, open",natural,white,"buttery, lemony, mild, sharp","earthy, mushroom, rich",TRUE,FALSE
Cracked Pepper Chevre,goat,United States,Cheddar,"semi-soft, artisan",High,"creamy, crumbly, firm",rindless,white,"savory, spicy","clean, fresh",TRUE,FALSE
Cream Cheese,cow,United States,Cheddar,"fresh soft, processed",High,"creamy, spreadable",rindless,white,"creamy, mild, sweet","fresh, pleasant",TRUE,FALSE
Creamy Lancashire,cow,England,Cheddar,"semi-hard, artisan",High,fluffy,natural,pale yellow,creamy,grassy,TRUE,FALSE
Criollo Cheese,cow,Mexico,Cheddar,semi-firm,High,smooth,rindless,pale yellow,"savory, sharp",strong,FALSE,FALSE
Crowley,cow,United States,Cheddar,"semi-soft, hard, artisan",High,"creamy, crumbly, firm, smooth",cloth wrapped,pale yellow,"buttery, full-flavored, mild, savory, smokey , spicy, sweet, tangy","aromatic, fresh, mild, pleasant, smokey",FALSE,FALSE
Crucolo,cow,Italy,Cheddar,"semi-hard, artisan",High,buttery,rindless,ivory,"savory, sweet","mild, rich",FALSE,FALSE
Crumbly Lancashire,cow,England,Cheddar,hard,High,crumbly,plastic,pale yellow,acidic,"herbal, sweet",FALSE,FALSE
L'Amuse Brabander Goat Gouda,cow,Netherlands,Cheddar,hard,High,smooth,waxed,brownish yellow,"caramel, salty","buttery, nutty",TRUE,FALSE
La Couronne - Fort Aged Comté,cow,"France, Switzerland",Cheddar,semi-hard,High,dense,edible,pale yellow,"caramel, nutty, sweet",rich,FALSE,FALSE
LaClare Farms Chandoka,"cow, goat",United States,Cheddar,"semi-firm, artisan",High,creamy,natural,ivory,"fruity, tangy",fruity,TRUE,FALSE
LaClare Farms Cheddar,goat,United States,Cheddar,"semi-soft, artisan",High,creamy,washed,ivory,"mild, sweet, tangy","fruity, sweet",TRUE,FALSE
LaClare Farms Raw Goats Milk Cheddar,goat,United States,Cheddar,"semi-soft, artisan",High,creamy,natural,ivory,"mild, sweet, tangy","fruity, sweet",TRUE,FALSE
Laguiole,cow,France,Cheddar,"semi-hard, artisan",High,"creamy, firm, supple",natural,straw,"sharp, sour, tangy",aromatic,FALSE,FALSE
Lairobell,goat,"Scotland, United Kingdom",Cheddar,"hard, artisan",High,"crumbly, open",natural,pale yellow,"herbaceous, sweet",goaty,TRUE,FALSE
Lajta,cow,Hungary,Cheddar,soft,High,"creamy, open",washed,yellow,piquant,"aromatic, stinky, strong",FALSE,FALSE
Lake District Extra Mature Cheddar,cow,United Kingdom,Cheddar,"semi-soft, artisan",High,creamy,natural,pale yellow,sweet,rich,TRUE,FALSE
Lake District Mature Cheddar,cow,United Kingdom,Cheddar,"soft, artisan",High,"crumbly, dense",natural,pale yellow,"savory, sweet",fresh,TRUE,FALSE
Lancashire Smoked,cow,England,Cheddar,hard,High,"buttery, crumbly",natural,red,"acidic, nutty, smokey , tangy, woody","buttery, fresh, grassy, smokey",FALSE,FALSE
Landaff,cow,United States,Cheddar,"semi-hard, artisan",High,"creamy, firm, open",natural,straw,"mild, tangy",aromatic,FALSE,FALSE
Latteria Navel,cow,Italy,Cheddar,"hard, soft-ripened",High,brittle,natural,straw,full-flavored,aromatic,FALSE,FALSE
Laura Chenel Tome,goat,United States,Cheddar,"firm, artisan",High,"crumbly, dense, firm",cloth wrapped,ivory,"caramel, savory","rich, sweet",TRUE,FALSE
Lavistown,cow,Ireland,Cheddar,"semi-hard, artisan",High,"crumbly, dry, firm",natural,yellow,"creamy, mild, milky, tangy, vegetal",mushroom,TRUE,FALSE
Le Conquerant Camembert,cow,France,Cheddar,"soft, artisan",High,soft-ripened,waxed,white,"fruity, yeasty",rich,FALSE,FALSE
Le Fium Orbo,"goat, sheep",France,Cheddar,soft,High,soft-ripened,natural,white,"earthy, meaty, sweet",pungent,FALSE,FALSE
Le Gruyère AOP,cow,Switzerland,Cheddar,hard,High,compact,rindless,white,sweet,earthy,FALSE,FALSE
Le Marquis Chevre,goat,France,Cheddar,"soft, artisan",High,soft,natural,ivory,"lemony, tangy",mild,TRUE,FALSE
Le Maréchal,cow,Switzerland,Cheddar,hard,High,"firm, smooth",natural,yellow,"buttery, creamy, floral, herbaceous","buttery, floral, grassy, herbal",FALSE,FALSE
Le Moutier,goat,Canada,Cheddar,fresh firm,High,firm,natural,white,sweet,"fresh, milky, rich, sweet",FALSE,FALSE
